MMSI, STATUS, SPEED, LON, LAT, COURSE, HEADING, TIMESTAMP, SHIP_ID, WIND_ANGLE, WIND_SPEED, WIND_TEMP
477620900,0,155,-107.624400,18.924910,293,297,2018-03-05T00:21:00,4245755,351,10,24
477620900,0,158,-116.818000,22.523340,290,292,2018-03-06T11:59:00,4245755,12,11,18
477620900,0,163,-121.543500,24.063020,289,289,2018-03-07T05:26:00,4245755,55,9,18
477620900,0,161,-125.048600,25.081570,288,288,2018-03-07T17:49:00,4245755,139,9,19
477620900,0,155,-119.030100,23.274650,289,289,2018-03-06T20:12:00,4245755,40,9,18
477620900,0,157,-120.262600,23.666210,287,288,2018-03-07T00:49:00,4245755,42,8,18
477620900,0,154,-127.086600,25.636740,284,285,2018-03-08T01:08:00,4245755,146,12,19
477620900,0,161,-133.487800,27.150460,284,284,2018-03-09T00:09:00,4245755,111,9,19
477620900,0,154,-140.913000,28.499330,278,278,2018-03-10T01:30:00,4245755,15,13,18
477620900,0,154,-147.974700,29.381720,274,274,2018-03-11T01:10:00,4245755,264,20,18
477620900,0,128,-152.837400,29.762250,273,272,2018-03-12T00:09:00,4245755,336,25,15
477620900,0,160,-159.802200,29.995330,271,270,2018-03-13T00:49:00,4245755,35,11,17
477620900,0,167,-166.962400,32.221810,288,289,2018-03-14T01:30:00,4245755,114,15,16
477620900,0,163,-169.724800,32.976530,285,282,2018-03-14T10:26:00,4245755,153,16,16
477620900,0,159,-174.110700,34.008800,284,287,2018-03-15T00:47:00,4245755,6,19,15
477620900,0,152,178.998900,35.299380,275,276,2018-03-16T00:11:00,4245755,285,11,13
477620900,0,148,171.625900,37.089880,288,288,2018-03-17T00:26:00,4245755,201,14,15
477620900,0,159,164.318600,38.970600,285,285,2018-03-18T00:35:00,4245755,354,23,7
477620900,0,162,156.354000,40.433320,282,279,2018-03-19T00:49:00,4245755,198,26,7